03-27 19:29:18.894: W/ActivityThread(281): Application edu.lynchburg.taskbomb is waiting for the debugger on port 8100...
03-27 19:29:18.924: I/System.out(281): Sending WAIT chunk
03-27 19:30:01.215: I/MainActivity(281): Instance number: 212
03-27 19:30:01.385: I/MainActivity(281): Instance number: 213
03-27 19:30:01.635: I/MainActivity(281): Instance number: 214
03-27 19:30:01.874: I/MainActivity(281): Instance number: 215
03-27 19:30:02.094: I/MainActivity(281): Instance number: 216
03-27 19:30:02.294: I/MainActivity(281): Instance number: 217
03-27 19:30:02.494: I/MainActivity(281): Instance number: 218
03-27 19:30:02.694: I/MainActivity(281): Instance number: 219
03-27 19:30:02.894: I/MainActivity(281): Instance number: 220
03-27 19:30:03.144: I/MainActivity(281): Instance number: 221
03-27 19:30:03.354: I/MainActivity(281): Instance number: 222
03-27 19:30:03.554: I/MainActivity(281): Instance number: 223
03-27 19:30:03.754: I/MainActivity(281): Instance number: 224
03-27 19:30:03.964: I/MainActivity(281): Instance number: 225
03-27 19:30:04.184: I/MainActivity(281): Instance number: 226
03-27 19:30:04.374: I/MainActivity(281): Instance number: 227
03-27 19:30:04.634: I/MainActivity(281): Instance number: 228
03-27 19:30:04.804: I/MainActivity(281): Instance number: 229
03-27 19:30:05.054: I/MainActivity(281): Instance number: 230
03-27 19:30:05.284: I/MainActivity(281): Instance number: 231
03-27 19:30:05.484: I/MainActivity(281): Instance number: 232
03-27 19:30:05.694: I/MainActivity(281): Instance number: 233
03-27 19:30:05.904: I/MainActivity(281): Instance number: 234
03-27 19:30:06.114: I/MainActivity(281): Instance number: 235
03-27 19:30:06.324: I/MainActivity(281): Instance number: 236
03-27 19:30:06.534: I/MainActivity(281): Instance number: 237
03-27 19:30:06.744: I/MainActivity(281): Instance number: 238
03-27 19:30:06.944: I/MainActivity(281): Instance number: 239
03-27 19:30:07.154: I/MainActivity(281): Instance number: 240
03-27 19:30:07.364: I/MainActivity(281): Instance number: 241
03-27 19:30:07.574: I/MainActivity(281): Instance number: 242
03-27 19:30:07.784: I/MainActivity(281): Instance number: 243
03-27 19:30:07.994: I/MainActivity(281): Instance number: 244
03-27 19:30:08.044: D/dalvikvm(281): GREF has increased to 601
